hidden_layers,hidden_sizes_mean,max_hidden_size,min_hidden_size,variance_hidden_sizes,accuracy,introspectability,flops
18,103.61111111111111,196,17,3194.015432098766,0.918,0.6560629745324452,255188.0
14,88.28571428571429,170,17,1486.4897959183675,0.8584,0.36454653319799235,152676.0
14,108.71428571428571,200,15,3187.9183673469392,0.914,0.254587792729338,226183.0
20,115.1,194,11,3340.69,0.8362,0.4561427270372709,289427.0
11,130.9090909090909,189,11,3082.99173553719,0.8865,0.23364161705184314,272748.0
4,96.75,167,22,3053.6875,0.9377,0.5055768890513315,90982.0
11,117.72727272727273,190,24,3148.925619834711,0.8796,0.4112231690850523,167416.0
14,109.14285714285714,191,18,4430.836734693878,0.7699,0.35767838604127367,277990.0
9,85.66666666666667,147,17,1785.7777777777778,0.8942,0.3388682534504268,83142.0
6,93.16666666666667,195,31,3582.138888888889,0.9376,0.05692028579910079,126478.0
18,94.83333333333333,191,21,3359.1388888888887,0.894,0.15295759707482326,267941.0
20,106.25,192,13,3930.0875,0.8749,0.5047378665871091,264044.0
8,98.375,171,23,2463.984375,0.9042,0.34338190462440255,108460.0
4,86.75,155,26,2178.6875,0.926,0.14689719755616454,103074.0
20,107.35,189,28,3037.8275,0.851,0.7043696602185567,361924.0
20,100.5,196,22,3297.75,0.8569,0.650840738746855,223077.0
9,96.66666666666667,191,47,1924.6666666666667,0.9022,0.24375940529215667,117085.0
11,103.36363636363636,173,25,3604.9586776859505,0.8494,0.3794162891805172,128952.0
8,128.5,196,43,2588.0,0.922,0.2357378557841811,230322.0
10,114.9,180,56,1470.2900000000002,0.9105,0.3360058421889941,167303.0
4,79.75,192,26,4366.1875,0.9272,0.24233084718386333,49106.0
16,124.25,189,45,1486.1875,0.8682,0.42930788348118465,323458.0
5,92.2,149,27,1884.56,0.9413,0.13142577138625913,114028.0
16,137.3125,198,63,1872.46484375,0.8607,0.4722183836830987,386416.0
20,118.15,192,27,2695.7275,0.8758,0.48374073108037313,406407.0
14,100.14285714285714,199,11,3396.5510204081634,0.8624,0.35718794564406076,204091.0
3,122.66666666666667,149,93,528.2222222222223,0.9493,0.11278003813284966,148238.0
4,102.25,187,50,2708.1875,0.9457,0.1933286680943436,168878.0
3,138.33333333333334,175,70,2338.888888888889,0.9508,0.11269796502569483,179550.0
9,97.22222222222223,184,14,3454.395061728395,0.8322,0.2375130528687603,168332.0
6,114.33333333333333,184,14,2771.888888888889,0.9374,0.1969455680085553,206484.0
3,103.0,147,58,1320.6666666666667,0.9443,0.10836633384848635,68262.0
20,121.7,198,20,3205.31,0.8937,0.44568448728985255,328557.0
12,117.33333333333333,188,17,2851.055555555556,0.8494,0.2020475459194535,256641.0
6,140.33333333333334,190,33,2670.222222222222,0.9557,0.10958279410066704,205850.0
7,146.14285714285714,185,112,729.8367346938776,0.9466,0.16766891825116342,258999.0
9,102.22222222222223,182,15,2872.395061728395,0.818,0.3948560177762475,145670.0
15,116.13333333333334,195,31,2453.4488888888886,0.7954,0.3660535564853085,305259.0
3,127.33333333333333,174,98,1112.888888888889,0.9462,0.16009372160252597,123412.0
4,71.75,104,17,1170.6875,0.9265,0.13346161532422735,32735.0
11,85.45454545454545,179,19,1707.1570247933885,0.8184,0.32425027448270055,160430.0
7,75.28571428571429,133,15,2085.3469387755104,0.9219,0.22234400895734627,126507.0
